datetime,horas vuelo,Delayed flights,Mins delayed,Max,Min
2019-10-12,119,12,21,45,8
2019-10-13,133,6,19,56,7
2019-10-14,149,12,29,57,5
2019-10-15,116,12,17,58,4
2019-10-16,104,9,16,58,4
2019-10-17,115,1,32,48,7
2019-10-18,117,5,25,51,5
2019-10-19,129,6,34,52,4
2019-10-20,124,10,16,56,7
2019-10-21,127,6,34,47,7
2019-10-22,103,2,15,51,5
2019-10-23,110,12,23,48,3
2019-10-24,133,3,35,59,1
2019-10-25,109,11,18,60,3
2019-10-26,141,1,23,57,3
2019-10-27,120,1,16,53,7
2019-10-28,114,3,29,49,6
2019-10-29,134,6,19,50,2
2019-10-30,131,14,16,46,9
2019-10-31,121,7,19,53,10
2019-11-01,137,15,21,55,4
2019-11-02,112,7,23,49,6
2019-11-03,118,6,16,56,7
2019-11-04,150,4,33,56,6
2019-11-05,104,11,34,49,5
2019-11-06,112,3,25,47,5
2019-11-07,132,3,28,58,2
2019-11-08,112,8,30,55,8
2019-11-09,110,14,30,59,2
2019-11-10,108,2,29,46,5
2019-11-11,125,7,33,60,1
2019-11-12,140,11,22,55,10
2019-11-13,130,15,27,48,6
2019-11-14,148,5,22,57,6
2019-11-15,139,11,27,59,6
2019-11-16,109,1,28,49,10
2019-11-17,101,4,27,49,9
2019-11-18,104,6,16,60,7
2019-11-19,105,13,25,58,6
2019-11-20,135,12,21,58,1
